n  spin_accpt	Ecalc	 Mabs_calc
7151	2054	-798.920431	399.725633
7161	2157	-798.78732	399.691663
7171	2090	-798.878817	399.711616
7181	2004	-798.892633	399.718702
7191	2060	-798.891948	399.718259
7201	2026	-798.930704	399.727816
7211	2060	-798.863403	399.711274
7221	1930	-798.992383	399.742695
7231	2196	-798.785783	399.689393
7241	2174	-798.83331	399.703632
7251	2142	-798.850917	399.707075
7261	2036	-798.856907	399.709406
7271	2025	-798.981158	399.741439
7281	2056	-798.923225	399.725312
7291	2132	-798.895076	399.71746
7301	2142	-798.823175	399.700315
7311	2081	-798.868007	399.711667
7321	2100	-798.929108	399.727633
7331	2168	-798.846542	399.70045
7341	2102	-798.830132	399.700586
7351	2152	-798.845871	399.707795
7361	2144	-798.837658	399.70466
7371	2090	-798.868539	399.711301
7381	2072	-798.938355	399.729576
7391	2074	-798.872142	399.713435
7401	2180	-798.828266	399.701662
7411	2164	-798.899474	399.719336
7421	2250	-798.79585	399.691955
7431	2108	-798.8696	399.712286
7441	2167	-798.911437	399.723155
7451	2076	-798.865119	399.713059
7461	2224	-798.810883	399.69736
7471	2131	-798.879936	399.713827
7481	2220	-798.814597	399.698703
7491	2159	-798.833801	399.702576
7501	2232	-798.776163	399.688841
7511	2175	-798.798562	399.692451
7521	2238	-798.815051	399.698444
7531	2268	-798.799097	399.694861
7541	2284	-798.804933	399.696327
7551	2194	-798.8187	399.699907
7561	2170	-798.920778	399.724375
7571	2178	-798.838727	399.705191
7581	2151	-798.837093	399.704261
7591	2128	-798.913977	399.72441
7601	2188	-798.897513	399.719247
7611	2112	-798.905794	399.721719
7621	2173	-798.88676	399.716573
7631	2150	-798.877211	399.714323
7641	2270	-798.826332	399.699516
7651	2296	-798.815841	399.697556
7661	2344	-798.816865	399.69769
7671	2412	-798.792335	399.693912
7681	2394	-798.73454	399.678427
7691	2166	-798.916656	399.723573
7701	2184	-798.900403	399.720815
7711	2152	-798.869148	399.7121
7721	2320	-798.786168	399.688123
7731	2152	-798.967792	399.733799
7741	2169	-798.896783	399.717091
7751	2342	-798.808928	399.693975
7761	2302	-798.835202	399.702873
7771	2174	-798.933985	399.72822
7781	2213	-798.886518	399.715718
7791	2238	-798.873059	399.712489
7801	2198	-798.850917	399.708499
7811	2168	-798.937396	399.73038
7821	2142	-798.939266	399.728679
7831	2254	-798.773592	399.68663
7841	2306	-798.8981	399.718913
7851	2302	-798.783849	399.689466
7861	2250	-798.852054	399.707162
7871	2358	-798.83471	399.702452
7881	2384	-798.794062	399.691917
7891	2308	-798.867064	399.712077
7901	2364	-798.816352	399.698013
7911	2322	-798.819871	399.700417
7921	2280	-798.931448	399.728065
7931	2286	-798.807717	399.695625
7941	2280	-798.891324	399.718423
7951	2406	-798.913344	399.723305
7961	2332	-798.823263	399.700038
7971	2296	-798.825242	399.699159
7981	2182	-798.899887	399.719584
7991	2356	-798.854211	399.709673
8001	2332	-798.884639	399.714786
8011	2286	-798.92348	399.724379
8021	2445	-798.786685	399.687819
8031	2228	-798.866393	399.71087
8041	2475	-798.772789	399.688347
8051	2331	-798.895044	399.718793
8061	2404	-798.803622	399.694083
8071	2216	-798.958246	399.734853
8081	2324	-798.842717	399.705235
8091	2354	-798.859968	399.709059
8101	2224	-798.884088	399.715591
8111	2370	-798.791764	399.690297
8121	2426	-798.797192	399.693141
8131	2314	-798.879843	399.713196
8141	2362	-798.879745	399.71404
8151	2507	-798.763833	399.686664
8161	2445	-798.832496	399.702242
8171	2342	-798.891201	399.716069
8181	2444	-798.861753	399.711771
8191	2440	-798.864119	399.708949
8201	2374	-798.872333	399.71345
8211	2486	-798.800633	399.693095
8221	2344	-798.899891	399.718039
8231	2336	-798.902685	399.721055
8241	2580	-798.782672	399.690814
8251	2306	-798.888377	399.714944
8261	2380	-798.886818	399.716983
8271	2500	-798.809334	399.696772
8281	2412	-798.889989	399.716701
8291	2310	-798.885056	399.715354
8301	2468	-798.843995	399.705337
8311	2566	-798.761641	399.684033
8321	2525	-798.797741	399.693066
8331	2436	-798.873124	399.71456
8341	2338	-798.907565	399.720417
8351	2232	-798.918932	399.724584
8361	2356	-798.880038	399.714388
8371	2408	-798.892844	399.719508
8381	2480	-798.843097	399.703377
8391	2434	-798.880706	399.713503
8401	2500	-798.891561	399.716462
8411	2523	-798.81869	399.697063
